Pathways,Count,PValue,Benjamini
Hepatitis B,110,2.45E-45,7.86E-43
Coronavirus disease - COVID-19,131,4.54E-41,7.29E-39
Kaposi sarcoma-associated herpesvirus infection,117,1.58E-40,1.69E-38
Ribosome,103,5.47E-40,3.62E-38
Osteoclast differentiation,91,5.64E-40,3.62E-38
Human T-cell leukemia virus 1 infection,125,5.45E-39,2.62E-37
Human cytomegalovirus infection,126,5.70E-39,2.62E-37
Epstein-Barr virus infection,117,4.17E-38,1.67E-36
Pathways in cancer,215,1.05E-37,3.74E-36
Focal adhesion,115,9.58E-37,3.07E-35
Non-small cell lung cancer,51,2.68E-35,2.76E-34
Lipid and atherosclerosis,117,1.48E-34,4.32E-33
Shigellosis,127,3.22E-34,8.63E-33
Human papillomavirus infection,151,4.42E-33,1.09E-31
Chronic myeloid leukemia,62,5.69E-33,1.22E-31
Pancreatic cancer,62,5.69E-33,1.22E-31
Relaxin signaling pathway,84,1.58E-32,3.17E-31
Toxoplasmosis,77,3.15E-32,5.95E-31
Human immunodeficiency virus 1 infection,112,1.57E-31,2.79E-30
Prion disease,130,1.01E-30,1.71E-29
